oaCode,totalPopulation,totalHouseholds,personsPerHousehold
11240790010117,489,156,3.1
11240790010118,339,101,3.4
11240790010119,597,187,3.2
11240790010120,507,157,3.2
11240790010121,352,109,3.2
11240790010122,363,104,3.5
11240790010123,353,113,3.1
11240790010124,457,136,3.4
11240790010125,586,190,3.1
11240790010126,471,139,3.4
11240790010127,518,176,2.9
11240790010128,503,161,3.1
11240790010129,497,152,3.3
11240790010130,431,134,3.2
11240790010131,571,185,3.1
11240790010132,635,292,2.2
11240790020001,0,0,0
11240790020002,0,0,0
11240790020101,380,122,3.1
11240790020102,523,171,3.1
11240790020103,609,206,3
11240790020104,568,189,3
11240790020105,425,148,2.9
11240790020106,472,154,3.1
11240790020107,537,177,3
11240790020108,585,199,2.9
11240790020109,624,204,3.1
11240790020110,530,174,3
11240790020111,578,192,3
11240790020112,450,147,3.1
11240790020113,540,173,3.1
11240790020114,584,204,2.9
11240790020115,591,202,2.9
11240790020116,557,172,3.2
11240790020117,515,169,3
11240790020118,575,185,3.1
11240790020119,439,149,2.9
11240790020120,659,208,3.2
11240790020121,640,206,3.1
11240790020122,482,155,3.1
11240790020123,584,197,3
11240790020124,524,165,3.2
11240790020125,473,148,3.2
11240790020126,595,191,3.1
11240790020127,612,208,2.9
11240790020128,458,154,3
11240790020129,434,158,2.7
11240790020130,471,154,3.1
11240790020131,505,162,3.1
11240790020132,550,183,3
11240800010001,0,0,0
11240800010101,412,147,2.8
11240800010102,414,144,2.9
11240800010103,404,145,2.8
11240800010104,623,234,2.7
11240800010105,378,146,2.6
11240800010106,390,144,2.7
11240800010107,384,144,2.7
11240800010108,400,145,2.8
11240800010109,430,160,2.7
11240800010110,406,145,2.8
11240800010111,392,145,2.7
11240800010112,509,176,2.9
11240800010113,407,146,2.8
11240800010114,403,147,2.7
11240800010115,391,147,2.7
11240800010116,415,149,2.8
11240800010117,557,204,2.7
11240800010118,531,199,2.7
11240800010119,426,148,2.9
11240800010120,585,203,2.9
11240800010121,340,117,2.9
11240800010122,384,149,2.6
11240800010123,580,202,2.9
11240800010124,407,148,2.8
11240800020101,903,336,2.7
11240800020102,1090,517,2.1
11240800020103,469,184,2.5
11240800030001,0,0,0
11240800030101,406,132,3.1
11240800030102,563,186,3
11240800030103,475,153,3.1
11240800030104,379,116,3.3
11240800030105,588,199,3
11240800030106,587,195,3
11240800030107,644,204,3.2
11240800030108,596,197,3
11240800030109,504,178,2.8
11240800030110,379,150,2.5
11240800030111,482,150,3.2
11240800030112,624,197,3.2
11240800030113,418,158,2.6
11240800030114,460,150,3.1
11240800030115,513,164,3.1
11240800030116,466,156,3
11240800030117,557,181,3.1
11240800030118,400,147,2.7
11240800030119,419,148,2.8
11240800030120,542,180,3
11240800030121,572,185,3.1
11240800030122,498,155,3.2
11240800040001,0,0,0
11240800040002,0,0,0
11240800040101,511,177,2.9
11240800040102,522,185,2.8
11240800040103,589,197,3
11240800040104,532,185,2.9
11240800040105,605,211,2.9
11240800040106,553,182,3
11240800040107,597,193,3.1
11240800040108,503,173,2.9
11240800040109,484,163,3
11240800040110,424,141,3
11240800040111,419,155,2.7
11240800040112,435,163,2.7
11240800040113,472,160,3
11240800040114,600,208,2.9
11240800040115,483,167,2.9
11240810010001,404,200,2
11240810010002,406,129,3.1
11240810010003,413,193,2.1
11240810010004,545,206,2.6
11240810010005,554,273,2
11240810010006,560,267,2.1
11240810010007,479,226,2.1
11240810010008,469,229,2
11240810010009,507,220,2.3
11240810010010,440,179,2.5
11240810010011,499,217,2.3
11240810010012,561,228,2.5
11240810010013,550,236,2.3
11240810010014,465,211,2.2
11240810010015,592,248,2.4
11240810010016,435,226,1.9
11240810010101,552,238,2.3
11240810010102,541,211,2.6
11240810010103,599,278,2.2
11240810010104,536,215,2.5
11240810010201,460,147,3.1
11240810010401,352,116,3
11240810010501,544,194,2.8
11240810010502,544,199,2.7
11240810010503,464,170,2.7
11240810010601,455,310,1.5
11240810010602,452,288,1.6
11240810010603,588,338,1.7
11240810010604,485,288,1.7
11240810010701,453,151,3
11240810012101,404,163,2.5
11240810012102,547,200,2.7
11240810012201,436,135,3.2
11240810012202,502,159,3.2
11240810012203,432,142,3
11240810012204,478,169,2.8
11240810012301,672,216,3.1
11240810012401,633,230,2.8
11240810012402,546,214,2.6
11240810012501,470,167,2.8
11240810012502,356,154,2.3
11240810012503,568,363,1.6
11240810012601,457,196,2.3
11240810012602,433,147,2.9
11240810012603,484,181,2.7
11240810012701,512,168,3
11240810012702,554,191,2.9
11240810012703,551,189,2.9
11240810012801,449,290,1.5
11240810012802,576,302,1.9
11240810012803,527,173,3
11240810012901,419,179,2.3
11240810012902,396,177,2.2
11240810012903,408,163,2.5
11240810013001,446,147,3
11240810013101,527,177,3
11240810013102,411,147,2.8
11240810013201,521,172,3
11240810013301,537,192,2.8
11240820010002,0,0,0
11240820010101,567,287,2
11240820010102,593,254,2.3
11240820010103,400,156,2.6
11240820010104,596,316,1.9
11240820010105,495,159,3.1
11240820010106,501,202,2.5
11240820010107,488,152,3.2
11240820010108,415,157,2.6
11240820010109,575,174,3.3
11240820010110,444,139,3.2
11240820010201,519,267,1.9
11240820010202,535,158,3.4
11240820010203,439,122,3.6
11240820010301,565,175,3.2
11240820010302,595,186,3.2
11240820010303,561,171,3.3
11240820010304,483,149,3.2
11240820020001,474,178,2.7
11240820020002,986,700,1.4
11240820020004,158,15,10.5
11240820020005,0,0,0
11240820020101,542,152,3.6
11240820020102,578,168,3.4
11240820020103,572,172,3.3
11240820020104,604,171,3.5
11240820020201,490,140,3.5
11240820020202,517,154,3.4
11240820020203,411,123,3.3
11240820020204,522,155,3.4
11240820020205,380,116,3.3
11240820020301,447,137,3.3
11240820020302,542,153,3.5
11240820020303,540,163,3.3
11240820020304,537,154,3.5
11240820020305,503,152,3.3
11240820020306,535,156,3.4
11240820020307,435,124,3.5
11240820020308,453,132,3.4
11240820020309,362,98,3.7
11240820020401,467,135,3.5
11240820020402,538,162,3.3
11240820020403,308,95,3.2
11240820020501,531,148,3.6
11240820020502,552,159,3.5
11240820020503,616,182,3.4
11240820020601,445,183,2.4
11240820020602,446,165,2.7
11240820020603,452,167,2.7
11240820020604,409,159,2.6
11240820020605,444,148,3
11240820020606,537,160,3.4
11240820020607,621,193,3.2
11240820020608,448,162,2.8
11240820020609,415,118,3.5
11240820020610,546,177,3.1
11240820020611,463,144,3.2
11240820020701,592,217,2.7
11240820020702,588,249,2.4
11240820020703,620,225,2.8
11240820020704,621,197,3.2
11240820020705,557,228,2.4
11240820020801,624,198,3.2
11240820020802,580,174,3.3
11240820020803,519,168,3.1
11240820020901,477,159,3
11240820021001,364,114,3.2
11240820021002,405,129,3.1
11240820021003,430,127,3.4
11240820021004,379,113,3.4
11240820021101,352,110,3.2
11240820021102,402,123,3.3
11240820021103,383,129,3
11240820021104,397,126,3.2
11240820021201,496,153,3.2
11240820021202,602,164,3.7
11240820021203,447,138,3.2
11240820021204,497,137,3.6
11240820021205,400,128,3.1
11240820021206,547,133,4.1
11240820021207,455,110,4.1
11240820021208,531,163,3.3
11240820021209,578,164,3.5
11240820021210,526,159,3.3
11240820021301,647,209,3.1
11240820021302,551,176,3.1
11240820021401,448,141,3.2
11240820021501,621,193,3.2
11240820021502,652,200,3.3
